,Blog,Target
21,"Provides classes that are fundamental to the design of the Java programming language. The most important classes are Object, which is the root of the class hierarchy, and Class, instances of which represent classes at run time.Following are the Important Classes in Java.lang package :More articles:",java
22,"Java is a general-purpose computer programming language that is concurrent, class-based, object-oriented etc.
Java applications are typically compiled to bytecode that can run on any Java virtual machine (JVM) regardless of computer architecture.The latest version is Java 11.Below are the environment settings for both Linux and Windows. JVM, JRE and JDK  all three are platform dependent because configuration of each Operating System is different. But, Java is platform independent.There are few things which must be clear before setting up the environmentSteps for Setting up Java Environment for Windows
Steps for LinuxIn linux, there are several ways to install java. But we will refer to simplest and easy way to install java using terminal. For linux we will install OpenJDK. OpenJDK is a free and open source implementation of the Java programming language.Popular Java Editors/IDE :Related Article: How to run java class file which is in different directory?This article is contributed by Gaurav Miglani. If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please write comments if you find anything incorrect, or you want to share more information about the topic discussed above.GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details ",java
23,"In programming languages, identifiers are used for identification purpose. In Java, an identifier can be a class name, method name, variable name or a label. For example :In the above java code, we have 5 identifiers namely :Rules for defining Java IdentifiersThere are certain rules for defining a valid java identifier. These rules must be followed, otherwise we get compile-time error. These rules are also valid for other languages like C,C++.Examples of valid identifiers : Examples of invalid identifiers : Reserved WordsAny programming language reserves some words to represent functionalities defined by that language. These words are called reserved words.They can be briefly categorised into two parts : keywords(50) and literals(3).keywords define functionalities and literals defines a value.Identifiers are used by symbol tables in various analyzing phases(like lexical,syntax,semantic) of a compiler architecture.Note : The keywords const and goto are reserved, even though they are not currently used. In place of const, final keyword is used. Some keywords like strictfp are included in later versions of Java.This article is contributed by Gaurav Miglani. If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please write comments if you find anything incorrect, or you want to share more information about the topic discussed above.GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details ",java
24,"The AbstractCollection class in Java is a part of the Java Collection Framework and implements the Collection interface. It is used to implement an unmodifiable collection, for which one needs to only extend this AbstractCollection Class and implement only the iterator and the size methods.Class Hierarchy:Syntax:Constructors in Java AbstractCollection:Below is the sample program to illustrate AbstractCollection in Java:                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java code to illustrate AbstractCollection  importjava.util.*; importjava.util.AbstractCollection;  publicclassGFG {     publicstaticvoidmain(String[] args)     {         // Create an empty collection         AbstractCollection<Object>             abs = newArrayList<Object>();          // Use add() method to add         // elements in the collection         abs.add(""Welcome"");         abs.add(""To"");         abs.add(""Geeks"");         abs.add(""4"");         abs.add(""Geeks"");          // Displaying the Collection         System.out.println(""AbstractCollection: ""                           + abs);     } } Methods in Java Abstract Collection:Example:                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java code to illustrate // methods of AbstractCollection  importjava.util.*; importjava.util.AbstractCollection;  publicclassAbstractCollectionDemo {     publicstaticvoidmain(String args[])     {          // Creating an empty collection         AbstractCollection<String>             abs1 = newTreeSet<String>();          // Use add() method to add         // elements into the Collection         abs1.add(""Welcome"");         abs1.add(""To"");         abs1.add(""Geeks"");         abs1.add(""4"");         abs1.add(""Geeks"");         abs1.add(""TreeSet"");          // Displaying the Collection         System.out.println(""AbstractCollection 1: ""                           + abs1);          // Creating anothe Collection         AbstractCollection<String>             abs2 = newTreeSet<String>();          // Displaying the Collection         System.out.println(""AbstractCollection 2: ""                           + abs2);          // Using addAll() method to Append         abs2.addAll(abs1);          // Displaying the Collection         System.out.println(""AbstractCollection 2: ""                           + abs2);          // Clearing the collection         // using clear() method         abs1.clear();          // Check for the empty collection         System.out.println(""Is the collection empty? ""                           + abs1.isEmpty());     } } Reference: https://docs.oracle.com/javase/7/docs/api/java/util/AbstractCollection.htmlGeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please Improve this article if you find anything incorrect by clicking on  the ""Improve Article"" button below.",java
25,"In java, object destruction is taken care by the Garbage Collector module and the objects which do not have any references to them are eligible for garbage collection. Garbage Collector is capable to identify this type of objects.
Island of Isolation:Example:                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                publicclassTest {     Test i;     publicstaticvoidmain(String[] args)       {         Test t1 = newTest();         Test t2 = newTest();                   // Object of t1 gets a copy of t2         t1.i = t2;               // Object of t2 gets a copy of t1         t2.i = t1;                   // Till now no object eligible         // for garbage collection          t1 = null;                  //now two objects are eligible for         // garbage collection          t2 = null;                  // calling garbage collector         System.gc();             }      @Override    protectedvoidfinalize() throwsThrowable      {          System.out.println(""Finalize method called"");      } } Output:Explanation :
Before destructing an object, Garbage Collector calls finalize method at most one time on that object.
The reason finalize method called two times in above example because two objects are eligible for garbage collection.This is because we don’t have any external references to t1 and t2 objects after executing  t2=null.
All we have is only internal references(which is in instance variable i of class Test) to them of each other. There is no way we can call instance variable of both objects. So, none of the objects can be called again. t2=nullTill t2.i = t1 : Both the objects have external references t1 and t2.
t1 = null : Both the objects can be reached via t2.i and t2 respectively.
t2 = null:  No way to reach any of the objects.
Now, both the objects are eligible for garbage collection as there is no way we can call them. This is popularly known as Island of Isolation.Reference:This article is contributed by Gaurav Miglani. If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please write comments if you find anything incorrect, or you want to share more information about the topic discussed above.
GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details ",java
26,"Most of the times, in competitive programming, there is a need to assign the variable, the maximum or minimum value that data type can hold, but remembering such a large and precise number comes out to be a difficult job. Therefore, Java has constants to represent these numbers, so that these can be directly assigned to the variable without actually typing the whole number.Example 1:                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java program to show // the value of Integer.MAX_VALUE  classGFG {      // Driver code     publicstaticvoidmain(String[] arg)     {          // Print the value of Integer.MAX_VALUE         System.out.println(""Integer.MAX_VALUE = ""                           + Integer.MAX_VALUE);     } } Any integer variable cannot store any value beyond this limit. Upon doing so, the memory will overflow and the value will get negative.Example 2: Trying to initialize a variable value Integer.MAX_VALUE + 1                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java program to show what happens when // a value greater than Integer.MAX_VALUE // is stored in an int variable  classGFG {      // Driver code     publicstaticvoidmain(String[] arg)     {          try{              System.out.println(                 ""Trying to initialize""                + "" a N with value""                + "" Integer.MAX_VALUE + 1"");              // Try to store value Integer.MAX_VALUE + 1             intN = Integer.MAX_VALUE + 1;              // Print the value of N             System.out.println(""N = ""+ N);         }         catch(Exception e) {             System.out.println(e);         }     } } Example 3:                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java program to show // the value of Integer.MIN_VALUE  classGFG {      // Driver code     publicstaticvoidmain(String[] arg)     {          // Print the value of Integer.MIN_VALUE         System.out.println(""Integer.MIN_VALUE = ""                           + Integer.MIN_VALUE);     } } Any integer variable cannot store any value below this limit. Upon doing so, the memory will overflow and the value will get positive.Example 2: Trying to initialize a variable value Integer.MIN_VALUE – 1                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java program to show what happens when // a value less than Integer.MIN_VALUE // is stored in an int variable  classGFG {      // Driver code     publicstaticvoidmain(String[] arg)     {          try{              System.out.println(                 ""Trying to initialize""                + "" a N with value""                + "" Integer.MIN_VALUE - 1"");              // Try to store value Integer.MIN_VALUE - 1             intN = Integer.MIN_VALUE - 1;              // Print the value of N             System.out.println(""N = ""+ N);         }         catch(Exception e) {             System.out.println(e);         }     } } GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please Improve this article if you find anything incorrect by clicking on  the ""Improve Article"" button below.",java
27,"Directly accessing Grandparent’s member in Java:Predict the output of following Java program.                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // filename Main.java classGrandparent {     publicvoidPrint() {         System.out.println(""Grandparent's Print()"");     } }   classParent extendsGrandparent {     publicvoidPrint() {                System.out.println(""Parent's Print()"");     } }   classChild extendsParent {     publicvoidPrint() {         super.super.Print();  // Trying to access Grandparent's Print()         System.out.println(""Child's Print()"");     } }   publicclassMain {     publicstaticvoidmain(String[] args) {         Child c = newChild();         c.Print();     } } Output:  Compiler Error
There is error in line “super.super.print();”.  In Java, a class cannot directly access the grandparent’s members.   It is allowed in C++ though.  In C++, we can use scope resolution operator (::) to access any ancestor’s member in inheritance hierarchy.  In Java, we can access grandparent’s members only through the parent class.  For example, the following program compiles and runs fine.                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // filename Main.java classGrandparent {     publicvoidPrint() {         System.out.println(""Grandparent's Print()"");     } }   classParent extendsGrandparent {     publicvoidPrint() {         super.Print();         System.out.println(""Parent's Print()"");     } }   classChild extendsParent {     publicvoidPrint() {         super.Print();         System.out.println(""Child's Print()"");     } }   publicclassMain {     publicstaticvoidmain(String[] args) {         Child c = newChild();         c.Print();     } } Output:Please write comments if you find anything incorrect, or you want to share more information about the topic discussed above.
GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details ",java
28,"For every thread, JVM creates a separate stack at the time of thread creation. The memory for a Java Virtual Machine stack does not need to be contiguous. The Java virtual machine only performs two operations directly on Java Stacks: it pushes and pops frames. And stack for a particular thread may be termed as Run – Time Stack. Each and every method call performed by that thread is stored in the corresponding run time stack including parameters, local variables, intermediate computations, and other data. After completing a method, corresponding entry from the stack is removed. After completing all method calls the stack becomes empty and that empty stack is destroyed by the JVM just before terminating the thread. The data stored in the stack is available for the corresponding thread and not available to the remaining threads. Hence we can say local data is thread safe. Each entry in the stack is called Stack Frame or Activation Record. Stack Frame Structure
The stack frame basically consists of three parts: Local Variable Array, Operand Stack & Frame Data. When JVM invokes a Java method, first it checks the class data to determine the number of words (size of the local variable array and operand stack, which are measured in words for each individual method) required by the method in the local variables array and operand stack. It creates a stack frame of the proper size for invoked method and pushes it onto the Java stack.1. Local Variable Array (LVA):2. Operand Stack (OS):3. Frame Data (FD):GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please Improve this article if you find anything incorrect by clicking on  the ""Improve Article"" button below.",java
29,"Unlike C++, Java supports a special block, called static block (also called static clause) which can be used for static initializations of a class. This code inside static block is executed only once: the first time the class is loaded into memory. For example, check output of following Java program.                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // filename: Main.java classTest {     staticinti;     intj;          // start of static block      static{         i = 10;         System.out.println(""static block called "");     }     // end of static block  }  classMain {     publicstaticvoidmain(String args[]) {          // Although we don't have an object of Test, static block is          // called because i is being accessed in following statement.         System.out.println(Test.i);      } } Output:
static block called
10
Also, static blocks are executed before constructors. For example, check output of following Java program.                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // filename: Main.java classTest {     staticinti;     intj;     static{         i = 10;         System.out.println(""static block called "");     }     Test(){         System.out.println(""Constructor called"");     } }  classMain {     publicstaticvoidmain(String args[]) {         // Although we have two objects, static block is executed only once.        Test t1 = newTest();        Test t2 = newTest();     } } Output:
static block called
Constructor called
Constructor called
What if we want to execute some code for every object?
We use Initializer Block in JavaReferences:
Thinking in Java BookPlease write comments if you find anything incorrect, or you want to share more information about the topic discussed above.GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details ",java
30,"In object-oriented programming, a singleton class is a class that can have only one object (an instance of the class) at a time.
After first time, if we try to instantiate the Singleton class, the new variable also points to the first instance created. So whatever modifications we do to any variable inside the class through any instance, it affects the variable of the single instance created and is visible if we access that variable through any variable of that class type defined.
To design a singleton class:Normal class vs Singleton class: Difference in normal and singleton class in terms of instantiation is that, For normal class we use constructor, whereas for singleton class we use getInstance() method (Example code:I). In general, to avoid confusion we may also use the class name as method name while defining this method (Example code:II).Implementing Singleton class with getInstance() method                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java program implementing Singleton class // with getInstance() method classSingleton {     // static variable single_instance of type Singleton     privatestaticSingleton single_instance = null;      // variable of type String     publicString s;      // private constructor restricted to this class itself     privateSingleton()     {         s = ""Hello I am a string part of Singleton class"";     }      // static method to create instance of Singleton class     publicstaticSingleton getInstance()     {         if(single_instance == null)             single_instance = newSingleton();          returnsingle_instance;     } }  // Driver Class classMain {     publicstaticvoidmain(String args[])     {         // instantiating Singleton class with variable x         Singleton x = Singleton.getInstance();          // instantiating Singleton class with variable y         Singleton y = Singleton.getInstance();          // instantiating Singleton class with variable z         Singleton z = Singleton.getInstance();          // changing variable of instance x         x.s = (x.s).toUpperCase();          System.out.println(""String from x is ""+ x.s);         System.out.println(""String from y is ""+ y.s);         System.out.println(""String from z is ""+ z.s);         System.out.println(""\n"");          // changing variable of instance z         z.s = (z.s).toLowerCase();          System.out.println(""String from x is ""+ x.s);         System.out.println(""String from y is ""+ y.s);         System.out.println(""String from z is ""+ z.s);     } } Output:
Explanation: In the Singleton class, when we first time call getInstance() method, it creates an object of the class with name single_instance and return it to the variable. Since single_instance is static, it is changed from null to some object. Next time, if we try to call getInstance() method, since single_instance is not null, it is returned to the variable, instead of instantiating the Singleton class again. This part is done by if condition. In the main class, we instantiate the singleton class with 3 objects x, y, z by calling static method getInstance(). But actually after creation of object x, variables y and z are pointed to object x as shown in the diagram. Hence, if we change the variables of object x, that is reflected when we access the variables of objects y and z. Also if we change the variables of object z, that is reflected when we access the variables of objects x and y. Implementing Singleton class with method name as that of class name                                     edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java program implementing Singleton class // with method name as that of class classSingleton {     // static variable single_instance of type Singleton     privatestaticSingleton single_instance=null;      // variable of type String     publicString s;      // private constructor restricted to this class itself     privateSingleton()     {         s = ""Hello I am a string part of Singleton class"";     }      // static method to create instance of Singleton class     publicstaticSingleton Singleton()     {         // To ensure only one instance is created         if(single_instance == null)         {             single_instance = newSingleton();         }         returnsingle_instance;     } }  // Driver Code classMain {     publicstaticvoidmain(String args[])     {         // instantiating Singleton class with variable x         Singleton x = Singleton.Singleton();          // instantiating Singleton class with variable y         Singleton y = Singleton.Singleton();          // instantiating Singleton class with variable z         Singleton z = Singleton.Singleton();          // changing variable of instance x         x.s = (x.s).toUpperCase();          System.out.println(""String from x is ""+ x.s);         System.out.println(""String from y is ""+ y.s);         System.out.println(""String from z is ""+ z.s);         System.out.println(""\n"");          // changing variable of instance x         z.s = (z.s).toLowerCase();          System.out.println(""String from x is ""+ x.s);         System.out.println(""String from y is ""+ y.s);         System.out.println(""String from z is ""+ z.s);     } } Output:Explanation: In the Singleton class, when we first time call Singleton() method, it creates an object of class Singleton with name single_instance and return it to the variable. Since single_instance is static, it is changed from null to some object. Next time if we try to call Singleton() method, since single_instance is not null, it is returned to the variable, instead of instantiating the Singleton class again.This article is contributed by Pavan Gopal Rayapati. If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please write comments if you find anything incorrect, or you want to share more information about the topic discussed above.",java
31,"Generics in Java is similar to templates in C++. The idea is to allow type (Integer, String, … etc and user defined types) to be a parameter to methods, classes and interfaces. For example, classes like HashSet, ArrayList, HashMap, etc use generics very well. We can use them for any type.                                     edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // A Simple Java program to show working of user defined // Generic classes   // We use < > to specify Parameter type classTest<T> {     // An object of type T is declared     T obj;     Test(T obj) {  this.obj = obj;  }  // constructor     publicT getObject()  { returnthis.obj; } }   // Driver class to test above classMain {     publicstaticvoidmain (String[] args)     {         // instance of Integer type         Test <Integer> iObj = newTest<Integer>(15);         System.out.println(iObj.getObject());           // instance of String type         Test <String> sObj =                           newTest<String>(""GeeksForGeeks"");         System.out.println(sObj.getObject());     } }Output: We can also pass multiple Type parameters in Generic classes.                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // A Simple Java program to show multiple // type parameters in Java Generics  // We use < > to specify Parameter type classTest<T, U> {     T obj1;  // An object of type T     U obj2;  // An object of type U      // constructor     Test(T obj1, U obj2)     {         this.obj1 = obj1;         this.obj2 = obj2;     }      // To print objects of T and U     publicvoidprint()     {         System.out.println(obj1);         System.out.println(obj2);     } }  // Driver class to test above classMain {     publicstaticvoidmain (String[] args)     {         Test <String, Integer> obj =             newTest<String, Integer>(""GfG"", 15);          obj.print();     } }Output:                                     edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // A Simple Java program to show working of user defined // Generic functions   classTest {     // A Generic method example     static<T> voidgenericDisplay (T element)     {         System.out.println(element.getClass().getName() +                            "" = ""+ element);     }       // Driver method     publicstaticvoidmain(String[] args)     {          // Calling generic method with Integer argument         genericDisplay(11);           // Calling generic method with String argument         genericDisplay(""GeeksForGeeks"");           // Calling generic method with double argument         genericDisplay(1.0);     } }Output : .                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // A Simple Java program to demonstrate that NOT using // generics can cause run time exceptions importjava.util.*;  classTest {     publicstaticvoidmain(String[] args)     {         // Creatinga an ArrayList without any type specified         ArrayList al = newArrayList();          al.add(""Sachin"");         al.add(""Rahul"");         al.add(10); // Compiler allows this          String s1 = (String)al.get(0);         String s2 = (String)al.get(1);          // Causes Runtime Exception         String s3 = (String)al.get(2);     } } Output : How generics solve this problem?
At the time of defining ArrayList, we can specify that this list can take only String objects.                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Using generics converts run time exceptions into  // compile time exception. importjava.util.*;  classTest {     publicstaticvoidmain(String[] args)     {         // Creating a an ArrayList with String specified         ArrayList <String> al = newArrayList<String> ();          al.add(""Sachin"");         al.add(""Rahul"");          // Now Compiler doesn't allow this         al.add(10);           String s1 = (String)al.get(0);         String s2 = (String)al.get(1);         String s3 = (String)al.get(2);     } } Output:.                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // We don't need to typecast individual members of ArrayList importjava.util.*;  classTest {     publicstaticvoidmain(String[] args)     {         // Creating a an ArrayList with String specified         ArrayList <String> al = newArrayList<String> ();          al.add(""Sachin"");         al.add(""Rahul"");          // Typecasting is not needed          String s1 = al.get(0);         String s2 = al.get(1);     } } .References:
https://docs.oracle.com/javase/tutorial/java/generics/why.htmlThis article is contributed by Dharmesh Singh. If you like GeeksforGeeks and would like to contribute, you can also write an article and mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please write comments if you find anything incorrect, or you want to share more information about the topic discussed aboveGeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details ",java
32,"Looping in programming languages is a feature which facilitates the execution of a set of instructions/functions repeatedly while some condition evaluates to true.
Java provides three ways for executing the loops. While all the ways provide similar basic functionality, they differ in their syntax and condition checking time. Flowchart:
                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java program to illustrate while loop classwhileLoopDemo {     publicstaticvoidmain(String args[])     {         intx = 1;          // Exit when x becomes greater than 4         while(x <= 4)         {             System.out.println(""Value of x:""+ x);              // Increment the value of x for             // next iteration             x++;         }     } } Output:Flowchart:
                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java program to illustrate for loop. classforLoopDemo {     publicstaticvoidmain(String args[])     {         // for loop begins when x=2         // and runs till x <=4         for(intx = 2; x <= 4; x++)             System.out.println(""Value of x:""+ x);     } } Output:Enhanced For loopJava also includes another version of for loop introduced in Java 5. Enhanced for loop provides a simpler way to iterate through the elements of a collection or array. It is inflexible and should be used only when there is a need to iterate through the elements in sequential manner without knowing the index of currently processed element.
Also note that the object/variable is immutable when enhanced for loop is used i.e it ensures that the values in the array can not be modified, so it can be said as read only loop where you can’t update the values as opposite to other loops where values can be modified.
We recommend using this form of the for statement instead of the general form whenever possible.(as per JAVA doc.)
Syntax:Lets take an example to demonstrate how enhanced for loop can be used to simpify the work. Suppose there is an array of names and we want to print all the names in that array. Let’s see the difference with these two examples
Enhanced for loop simplifies the work as follows-                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java program to illustrate enhanced for loop publicclassenhancedforloop {     publicstaticvoidmain(String args[])     {         String array[] = {""Ron"", ""Harry"", ""Hermoine""};          //enhanced for loop         for(String x:array)         {             System.out.println(x);         }          /* for loop for same function         for (int i = 0; i < array.length; i++)         {             System.out.println(array[i]);         }         */    } } Output:Flowchart:
                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java program to illustrate do-while loop classdowhileloopDemo {     publicstaticvoidmain(String args[])     {         intx = 21;         do        {             // The line will be printed even             // if the condition is false             System.out.println(""Value of x:""+ x);             x++;         }         while(x < 20);     } } Output:Pitfalls of Loops                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                //Java program to illustrate various pitfalls. publicclassLooppitfallsDemo {     publicstaticvoidmain(String[] args)     {          // infinite loop because condition is not apt         // condition should have been i>0.         for(inti = 5; i != 0; i -= 2)         {             System.out.println(i);         }         intx = 5;          // infinite loop because update statement         // is not provided.         while(x == 5)         {             System.out.println(""In the loop"");         }     } }                                     edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                //Java program for out of memory exception. importjava.util.ArrayList; publicclassInteger1 {     publicstaticvoidmain(String[] args)     {         ArrayList<Integer> ar = newArrayList<>();         for(inti = 0; i < Integer.MAX_VALUE; i++)         {             ar.add(i);         }     } } Output:This article is contributed by Rishabh Mahrsee. If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please write comments if you find anything incorrect, or you want to share more information about the topic discussed above.GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details ",java
33,"Generating random numbers themselves have a good utility value and having them achieved by the usage of function can prove to be very useful. Java in its language has dedicated an entire library to Random numbers  seeing its importance in day-day programming. nextInt() is discussed in this article.The following example shows the usage of java.util.Random.nextInt()                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java code to demonstrate the working // of nextInt() importjava.util.*; publicclassNextInt1 {     publicstaticvoidmain(String[] args)     {          // create random object         Random ran = newRandom();          // generating integer         intnxt = ran.nextInt();          // Printing the random Number         System.out.println         (""The Randomly generated integer is : ""+ nxt);     } } Output:
The following example shows the usage of java.util.Random.nextInt(int n)                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java code to demonstrate the working // of nextInt(n) importjava.util.*; publicclassNextInt2 {     publicstaticvoidmain(String args[])     {          // create random object         Random ran = newRandom();          // Print next int value         // Returns number between 0-9         intnxt = ran.nextInt(10);          // Printing the random number          // between 0 and 9         System.out.println         (""Random number between 0 and 10 is : ""+ nxt);     } } Output:IllegalArgumentException :  This occurs when the argument passed is not positive.
An example to illustrate the Exception generated when n is not a positive number:                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java code to demonstrate the Exception // of nextInt(n) importjava.util.*; publicclassNextInt2 {     publicstaticvoidmain(String[] args)     {          // create random object         Random ran = newRandom();          // generating number between 0 and -12345         // Raises Runtime error, as n is negative.         intnxt = ran.nextInt(-12345);          System.out.println         (""Generated Random number is : ""+ nxt);     } } 
Runtime Errors:Practical Applications Generating Random numbers have numerous applications, be it lottery, gambling or small scale gaming. A small Dice game have been demonstrated below in which a 6-mark Dice is thrown by 2 players, person securing 30 points 1st, wins.                                    edit
                                    close                                    play_arrow                                    link
                                    brightness_4
                                    code
                                // Java code to demonstrate the Application // of nextInt(n) importjava.util.*; publicclassNextIntAppli {     publicstaticvoidmain(String[] args)     {          intsum = 0, sum1 = 0, count = 0, count1 = 0;         intturn = 0;          // creating random object         Random ran = newRandom();         intflag = 0;          while(true) {             if(turn % 2== 0) {                  intp1 = ran.nextInt(6);                 sum += p1;                 System.out.printf                 (""Player 1 after turn %d is : %d\n"", turn, sum);             }             else{                  intp2 = ran.nextInt(6);                 sum1 += p2;                 System.out.printf                 (""Player 2 after turn %d is : %d\n"", turn, sum1);             }             if(sum >= 30) {                 flag = 1;                 break;             }             if(sum1 >= 30) {                 flag = 2;                 break;             }             turn++;         }         if(flag == 1)             System.out.println(""\nPlayer 1 WON!!"");         else            System.out.println(""\nPlayer 2 WON!!"");     } } Output:
This article is contributed by Suman Singh Rajput. If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.
Please write comments if you find anything incorrect, or you want to share more information about the topic discussed above.GeeksforGeeks has prepared a complete interview preparation course with premium videos, theory, practice problems, TA support and many more features. Please refer Placement 100 for details If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.Please Improve this article if you find anything incorrect by clicking on  the ""Improve Article"" button below.",java
